"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sbb.1","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"1","2014-08-03","GAS","Al2O3","median","g/100g",0.4536,0.4543,0.45,0.45,0.45,0.00033,4.65e-05,4.646e-05,0.00445,0.00445,2.1,21.6666666666667,19,0.45,0.00936
"2","2014-08-03","GAS","As","median","mg/kg",99.33,105.8,112.5,112.6,112.6,313,43.9,43.95,6.29,6.29,2.31,21.6666666666667,9,112.6,14.5
"3","2014-08-03","GAS","Ba","median","mg/kg",9.484,8.151,8.056,8,8,0.329,0.0463,0.04629,0.153,0.153,2.13,21.6666666666667,16,8,0.327
"4","2014-08-03","GAS","Be","median","mg/kg",0.03072,0.03072,0.02877,0.02877,0.02877,4.3e-05,6.05e-06,6.048e-06,0.00404,0.00404,4.3,21.6666666666667,3,0.02877,0.0174
"5","2014-08-03","GAS","CaO","median","g/100g",0.6861,0.6802,0.68,0.678,0.6765,0.000239,3.37e-05,3.366e-05,0.00361,0.00361,2.09,21.6666666666667,21,0.678,0.00752
"6","2014-08-03","GAS","Ce","median","mg/kg",0.2643,0.2519,0.2552,0.2541,0.2541,0.000782,0.00011,0.00011,0.00747,0.00747,2.13,21.6666666666667,16,0.2541,0.0159
"7","2014-08-03","GAS","Co","median","mg/kg",106.4,106.3,107.9,107.9,106.4,12.9,1.81,1.813,0.837,0.837,2.09,21.6666666666667,21,107.9,1.75
"8","2014-08-03","GAS","CO2","median","g/100g",1.298,1.298,1.295,1.295,1.295,0.00483,0.00068,0.0006796,0.0525,0.0525,12.71,21.6666666666667,2,1.295,0.667
"9","2014-08-03","GAS","Cr","median","mg/kg",2686,2751,2740,2757,2744,6280,883,883.3,18.9,18.9,2.09,21.6666666666667,20,2757,39.6
"10","2014-08-03","GAS","Cs","median","mg/kg",0.03091,0.02975,0.02957,0.0294,0.0294,2.89e-06,4.07e-07,4.066e-07,0.000504,0.000504,2.18,21.6666666666667,13,0.0294,0.0011
"11","2014-08-03","GAS","Cu","median","mg/kg",7.529,7.429,7.121,7.121,7.058,0.92,0.129,0.1293,0.248,0.248,2.12,21.6666666666667,17,7.121,0.527
"12","2014-08-03","GAS","Dy","median","mg/kg",0.05576,0.05659,0.05592,0.05596,0.05596,1.34e-05,1.88e-06,1.884e-06,0.000977,0.000977,2.13,21.6666666666667,16,0.05596,0.00208
"13","2014-08-03","GAS","Er","median","mg/kg",0.04198,0.04295,0.04317,0.0434,0.0434,6.66e-06,9.36e-07,9.36e-07,0.000711,0.000711,2.14,21.6666666666667,15,0.0434,0.00153
"14","2014-08-03","GAS","Eu","median","mg/kg",0.009401,0.008721,0.009004,0.008989,0.008989,2.57e-06,3.61e-07,3.611e-07,0.000442,0.000442,2.14,21.6666666666667,15,0.008989,0.000948
"15","2014-08-03","GAS","Fe2O3T","median","g/100g",7.979,7.971,7.983,7.974,7.965,0.0113,0.00159,0.001591,0.0242,0.0242,2.08,21.6666666666667,22,7.974,0.0504
"16","2014-08-03","GAS","FeO","median","g/100g",0.5933,0.5933,0.52,0.52,0.52,0.0319,0.00449,0.004492,0.11,0.11,4.3,21.6666666666667,3,0.52,0.474
"17","2014-08-03","GAS","Ga","median","mg/kg",1.077,0.9883,1,1,0.9848,0.0149,0.00209,0.002088,0.0392,0.0392,2.23,21.6666666666667,11,1,0.0874
"18","2014-08-03","GAS","Gd","median","mg/kg",0.04876,0.04426,0.04434,0.04432,0.04432,9.91e-06,1.39e-06,1.394e-06,0.000933,0.000933,2.18,21.6666666666667,13,0.04432,0.00203
"19","2014-08-03","GAS","H2O.","median","g/100g",9.308,9.308,9.315,9.315,9.315,0.114,0.00633,0.006331,0.197,0.197,4.3,21.6666666666667,3,9.315,0.846
"20","2014-08-03","GAS","Hf","median","mg/kg",0.05579,0.02454,0.02331,0.021,0.021,0.000145,2.04e-05,2.042e-05,0.00388,0.00388,2.23,21.6666666666667,11,0.021,0.00865
"21","2014-08-03","GAS","Ho","median","mg/kg",0.01435,0.01337,0.0132,0.01312,0.01312,2.02e-06,2.84e-07,2.838e-07,0.000406,0.000406,2.16,21.6666666666667,14,0.01312,0.000876
"22","2014-08-03","GAS","K2O","median","g/100g",0.0107,0.008961,0.01,0.009835,0.009835,1.63e-05,2.29e-06,2.292e-06,0.00115,0.00115,2.16,21.6666666666667,14,0.009835,0.00249
"23","2014-08-03","GAS","La","median","g/100g",0.1389,0.1441,0.1388,0.1456,0.1456,0.000136,1.92e-05,1.915e-05,0.00322,0.00322,2.14,21.6666666666667,15,0.1456,0.0069
"24","2014-08-03","GAS","Li","median","mg/kg",2.217,2.14,2.179,2.179,2.179,0.119,0.0167,0.01671,0.15,0.15,2.57,21.6666666666667,6,2.179,0.386
"25","2014-08-03","GAS","LOI","median","g/100g",13.15,13.15,13.19,13.19,13.19,0.0334,0.0047,0.004698,0.0416,0.0416,2.08,21.6666666666667,22,13.19,0.0865
"26","2014-08-03","GAS","Lu","median","mg/kg",0.009547,0.009717,0.00915,0.00925,0.00925,5.97e-07,8.4e-08,8.398e-08,0.000213,0.000213,2.14,21.6666666666667,15,0.00925,0.000457
"27","2014-08-03","GAS","MgO","median","g/100g",38.33,38.21,38.15,38.11,38.11,0.143,0.0201,0.02007,0.0902,0.0902,2.09,21.6666666666667,20,38.11,0.189
"28","2014-08-03","GAS","MnO","median","g/100g",0.08658,0.08484,0.085,0.08422,0.08416,6.21e-06,8.74e-07,8.736e-07,0.000581,0.000581,2.09,21.6666666666667,21,0.08422,0.00121
"29","2014-08-03","GAS","Na2O","median","g/100g",0.0282,0.02303,0.0218,0.0209,0.0209,0.000185,2.6e-05,2.604e-05,0.0046,0.0046,2.26,21.6666666666667,10,0.0209,0.0104
"30","2014-08-03","GAS","Nb","median","mg/kg",0.159,0.04143,0.04455,0.04239,0.04239,0.000119,1.68e-05,1.68e-05,0.00413,0.00413,2.36,21.6666666666667,8,0.04239,0.00976
"31","2014-08-03","GAS","Nd","median","mg/kg",0.1362,0.1338,0.1321,0.1315,0.1315,0.000107,1.5e-05,1.499e-05,0.00306,0.00306,2.18,21.6666666666667,13,0.1315,0.00666
"32","2014-08-03","GAS","Ni","median","mg/kg",2240,2278,2279,2292,2313,8610,1210,1211,21.6,21.6,2.09,21.6666666666667,21,2292,45.1
"33","2014-08-03","GAS","P2O5","median","g/100g",0.01568,0.01292,0.01219,0.01074,0.01074,1.55e-05,2.18e-06,2.182e-06,0.00112,0.00112,2.16,21.6666666666667,14,0.01074,0.00243
"34","2014-08-03","GAS","Pb","median","mg/kg",2.104,1.948,1.929,1.922,1.922,0.056,0.00788,0.007879,0.0894,0.0894,2.36,21.6666666666667,8,1.922,0.211
"35","2014-08-03","GAS","Pr","median","g/100g",0.03522,0.03198,0.0327,0.03263,0.03263,6.17e-06,8.68e-07,8.678e-07,0.000736,0.000736,2.18,21.6666666666667,13,0.03263,0.0016
"36","2014-08-03","GAS","Rb","median","mg/kg",0.3794,0.2736,0.2555,0.2555,0.2555,0.004,0.000563,0.0005628,0.0187,0.0187,2.18,21.6666666666667,13,0.2555,0.0408
"37","2014-08-03","GAS","Sb","median","mg/kg",11.95,11.95,12,12,12,0.991,0.139,0.1393,0.402,0.402,2.45,21.6666666666667,7,12,0.983
"38","2014-08-03","GAS","Sc","median","mg/kg",6.99,6.731,6.937,6.898,6.885,0.511,0.0719,0.07188,0.185,0.185,2.12,21.6666666666667,17,6.898,0.393
"39","2014-08-03","GAS","SiO2","median","g/100g",39.41,38.83,38.75,38.74,38.73,0.131,0.0185,0.01846,0.0825,0.0825,2.08,21.6666666666667,22,38.74,0.172
"40","2014-08-03","GAS","Sm","median","mg/kg",0.03705,0.03705,0.03413,0.03413,0.03413,0.000127,1.79e-05,1.788e-05,0.00301,0.00301,2.13,21.6666666666667,16,0.03413,0.00642
"41","2014-08-03","GAS","Sn","median","mg/kg",0.07359,0.07359,0.05553,0.05553,0.05553,0.00106,0.00015,0.0001495,0.0174,0.0174,3.18,21.6666666666667,4,0.05553,0.0554
"42","2014-08-03","GAS","Sr","median","mg/kg",7.797,7.372,7.355,7.317,7.366,0.374,0.0526,0.05258,0.143,0.143,2.09,21.6666666666667,21,7.317,0.297
"43","2014-08-03","GAS","Ta","median","mg/kg",0.01285,0.007018,0.005947,0.0051,0.0051,1.92e-05,2.7e-06,2.7e-06,0.00156,0.00156,2.31,21.6666666666667,9,0.0051,0.0036
"44","2014-08-03","GAS","Tb","median","mg/kg",0.009056,0.008401,0.008607,0.00815,0.00815,8.04e-07,1.13e-07,1.131e-07,0.000266,0.000266,2.18,21.6666666666667,13,0.00815,0.000579
"45","2014-08-03","GAS","Th","median","mg/kg",0.03475,0.03102,0.03137,0.03117,0.03117,2.55e-05,3.58e-06,3.582e-06,0.00156,0.00156,2.2,21.6666666666667,12,0.03117,0.00342
"46","2014-08-03","GAS","TiO2","median","g/100g",0.0134,0.01129,0.01133,0.0105,0.0105,8.84e-06,1.24e-06,1.243e-06,0.00077,0.00077,2.12,21.6666666666667,17,0.0105,0.00163
"47","2014-08-03","GAS","Tl","median","mg/kg",0.003124,0.003124,0.00327,0.00327,0.00327,4.89e-08,6.88e-09,6.876e-09,0.000167,0.000167,12.71,21.6666666666667,2,0.00327,0.00212
"48","2014-08-03","GAS","Tm","median","mg/kg",0.007546,0.007357,0.007425,0.0074,0.0074,3.95e-07,5.55e-08,5.549e-08,0.000186,0.000186,2.18,21.6666666666667,13,0.0074,0.000405
"49","2014-08-03","GAS","U","median","mg/kg",0.9036,0.8304,0.8125,0.8112,0.8112,0.00222,0.000313,0.0003127,0.0126,0.0126,2.13,21.6666666666667,16,0.8112,0.0268
"50","2014-08-03","GAS","V","median","mg/kg",32.23,32.96,32.76,32.82,32.6,8.79,1.24,1.236,0.727,0.727,2.1,21.6666666666667,19,32.82,1.53
"51","2014-08-03","GAS","Y","median","mg/kg",0.4246,0.3766,0.3857,0.3857,0.3852,0.00359,0.000505,0.0005049,0.0155,0.0155,2.12,21.6666666666667,17,0.3857,0.0329
"52","2014-08-03","GAS","Yb","median","mg/kg",0.05756,0.05319,0.05278,0.05255,0.05255,4.07e-05,5.73e-06,5.727e-06,0.00165,0.00165,2.12,21.6666666666667,17,0.05255,0.0035
"53","2014-08-03","GAS","Zn","median","mg/kg",37.16,37.16,38.5,38.5,38.84,12.7,1.79,1.789,0.794,0.794,2.07,21.6666666666667,23,38.5,1.65
"54","2014-08-03","GAS","Zr","median","mg/kg",2.325,0.8449,1.253,0.6151,0.6151,0.255,0.0359,0.03593,0.171,0.171,2.26,21.6666666666667,10,0.6151,0.386
