;date;RM;measurand;based.on;unit;mean.before;mean.after;median.before;median.after;median.after.noPP;sL;sbb;sbb.1;u;u.alternative;t.value;;labs.remaining;property.value;U;%U;%diff med-mean;;;;;;;;normalised;
1;29.07.2014;GAS;Al2O3;median;g/100g;0.4536;0.4543;0.45;0.45;0.45;0.00033;4.65E-05;4.65E-05;0.00445;0.00445;2.1;;19;0.450;0.009;2.08;0.96;;;;REE;;mean.after;median.after;mean.after;median.after
2;29.07.2014;GAS;As;median;mg/kg;99.33;105.8;112.5;112.6;112.6;313;43.9;43.95;6.29;6.29;2.31;;9;113;15;12.88;-6.04;;;;La;0.236;0.1441;0.1456;0.611;0.617
3;29.07.2014;GAS;Ba;median;mg/kg;9.484;8.151;8.056;8;8;0.329;0.0463;0.04629;0.153;0.153;2.13;;16;8.00;0.33;4.09;1.89;;;;Ce;0.616;0.2519;0.2541;0.409;0.413
4;29.07.2014;GAS;Be;median;mg/kg;0.03072;0.03072;0.02877;0.02877;0.02877;4.30E-05;6.05E-06;6.05E-06;0.00404;0.00404;4.3;;3;0.029;0.017;60.48;6.78;;;;Pr;0.0929;0.03198;0.03263;0.344;0.351
5;29.07.2014;GAS;CaO;median;g/100g;0.6861;0.6802;0.68;0.678;0.6765;0.000239;3.37E-05;3.37E-05;0.00361;0.00361;2.09;;21;0.678;0.008;1.11;0.32;;;;Nd;0.457;0.1338;0.1315;0.293;0.288
6;29.07.2014;GAS;Ce;median;mg/kg;0.2643;0.2519;0.2552;0.2541;0.2541;0.000782;0.00011;0.00011;0.00747;0.00747;2.13;;16;0.254;0.016;6.26;-0.87;;;;;;;;#NV;#NV
7;29.07.2014;GAS;Co;median;mg/kg;106.4;106.3;107.9;107.9;106.4;12.9;1.81;1.813;0.837;0.837;2.09;;21;107.9;1.75;1.62;-1.48;;;;Sm;0.149;0.03705;0.03413;0.249;0.229
8;29.07.2014;GAS;CO2;median;g/100g;1.298;1.298;1.295;1.295;1.295;0.00483;0.00068;0.0006796;0.0525;0.0525;12.71;;2;1.295;0.667;51.51;0.23;;;;Eu;0.056;0.008721;0.008989;0.156;0.161
9;29.07.2014;GAS;Cr;median;mg/kg;2686;2751;2740;2757;2744;6280;883;883.3;18.9;18.9;2.09;;20;2757;39.6;1.44;-0.22;;;;Gd;0.197;0.04426;0.04432;0.225;0.225
10;29.07.2014;GAS;Cs;median;mg/kg;0.03091;0.02975;0.02957;0.0294;0.0294;2.89E-06;4.07E-07;4.07E-07;0.000504;0.000504;2.18;;13;0.0294;0.0011;3.74;1.19;;;;Tb;0.0355;0.008401;0.00815;0.237;0.230
11;29.07.2014;GAS;Cu;median;mg/kg;7.529;7.429;7.121;7.121;7.058;0.92;0.129;0.1293;0.248;0.248;2.12;;17;7.121;0.527;7.40;4.33;;;;Dy;0.245;0.05659;0.05596;0.231;0.228
12;29.07.2014;GAS;Dy;median;mg/kg;0.05576;0.05659;0.05592;0.05596;0.05596;1.34E-05;1.88E-06;1.88E-06;0.000977;0.000977;2.13;;16;0.05596;0.00208;3.72;1.13;;;;Ho;0.0546;0.01337;0.01312;0.245;0.240
13;29.07.2014;GAS;Er;median;mg/kg;0.04198;0.04295;0.04317;0.0434;0.0434;6.66E-06;9.36E-07;9.36E-07;0.000711;0.000711;2.14;;15;0.0434;0.00153;3.53;-1.04;;;;Er;0.166;0.04295;0.0434;0.259;0.261
14;29.07.2014;GAS;Eu;median;mg/kg;0.009401;0.008721;0.009004;0.008989;0.008989;2.57E-06;3.61E-07;3.61E-07;0.000442;0.000442;2.14;;15;0.008989;0.000948;10.55;-2.98;;;;Tm;0.0242;0.007357;0.0074;0.304;0.306
15;29.07.2014;GAS;Fe2O3T;median;g/100g;7.979;7.971;7.983;7.974;7.965;0.0113;0.00159;0.001591;0.0242;0.0242;2.08;;22;7.974;0.0504;0.63;-0.04;;;;Yb;0.159;0.05319;0.05255;0.335;0.331
16;29.07.2014;GAS;FeO;median;g/100g;0.5933;0.5933;0.52;0.52;0.52;0.0319;0.00449;0.004492;0.11;0.11;4.3;;3;0.52;0.474;91.15;14.10;;;;Lu;0.0245;0.009717;0.00925;0.397;0.378
17;29.07.2014;GAS;Ga;median;mg/kg;1.077;0.9883;1;1;0.9848;0.0149;0.00209;0.002088;0.0392;0.0392;2.23;;11;1;0.0874;8.74;-1.17;;;;;;;;;
18;29.07.2014;GAS;Gd;median;mg/kg;0.04876;0.04426;0.04434;0.04432;0.04432;9.91E-06;1.39E-06;1.39E-06;0.000933;0.000933;2.18;;13;0.04432;0.00203;4.58;-0.14;;;;;;;;;
19;29.07.2014;GAS;H2O.;median;g/100g;9.308;9.308;9.315;9.315;9.315;0.114;0.00633;0.006331;0.197;0.197;4.3;;3;9.315;0.846;9.08;-0.08;;;;;;;;;
20;29.07.2014;GAS;Hf;median;mg/kg;0.05579;0.02454;0.02331;0.021;0.021;0.000145;2.04E-05;2.04E-05;0.00388;0.00388;2.23;;11;0.021;0.00865;41.19;16.86;;;;;;;;;
21;29.07.2014;GAS;Ho;median;mg/kg;0.01435;0.01337;0.0132;0.01312;0.01312;2.02E-06;2.84E-07;2.84E-07;0.000406;0.000406;2.16;;14;0.01312;0.000876;6.68;1.91;;;;;;;;;
22;29.07.2014;GAS;K2O;median;g/100g;0.0107;0.008961;0.01;0.009835;0.009835;1.63E-05;2.29E-06;2.29E-06;0.00115;0.00115;2.16;;14;0.009835;0.00249;25.32;-8.89;;;;;;;;;
23;29.07.2014;GAS;La;median;g/100g;0.1389;0.1441;0.1388;0.1456;0.1456;0.000136;1.92E-05;1.92E-05;0.00322;0.00322;2.14;;15;0.1456;0.0069;4.74;-1.03;;;;;;;;;
24;29.07.2014;GAS;Li;median;mg/kg;2.217;2.14;2.179;2.179;2.179;0.119;0.0167;0.01671;0.15;0.15;2.57;;6;2.179;0.386;17.71;-1.79;;;;;;;;;
25;29.07.2014;GAS;LOI;median;g/100g;13.15;13.15;13.19;13.19;13.19;0.0334;0.0047;0.004698;0.0416;0.0416;2.08;;22;13.19;0.0865;0.66;-0.30;;;;;;;;;
26;29.07.2014;GAS;Lu;median;mg/kg;0.009547;0.009717;0.00915;0.00925;0.00925;5.97E-07;8.40E-08;8.40E-08;0.000213;0.000213;2.14;;15;0.00925;0.000457;4.94;5.05;;;;;;;;;
27;29.07.2014;GAS;MgO;median;g/100g;38.33;38.21;38.15;38.11;38.11;0.143;0.0201;0.02007;0.0902;0.0902;2.09;;20;38.11;0.189;0.50;0.26;;;;;;;;;
28;29.07.2014;GAS;MnO;median;g/100g;0.08658;0.08484;0.085;0.08422;0.08416;6.21E-06;8.74E-07;8.74E-07;0.000581;0.000581;2.09;;21;0.08422;0.00121;1.44;0.74;;;;;;;;;
29;29.07.2014;GAS;Na2O;median;g/100g;0.0282;0.02303;0.0218;0.0209;0.0209;0.000185;2.60E-05;2.60E-05;0.0046;0.0046;2.26;;10;0.0209;0.0104;49.76;10.19;;;;;;;;;
30;29.07.2014;GAS;Nb;median;mg/kg;0.159;0.04143;0.04455;0.04239;0.04239;0.000119;1.68E-05;1.68E-05;0.00413;0.00413;2.36;;8;0.04239;0.00976;23.02;-2.26;;;;;;;;;
31;29.07.2014;GAS;Nd;median;mg/kg;0.1362;0.1338;0.1321;0.1315;0.1315;0.000107;1.50E-05;1.50E-05;0.00306;0.00306;2.18;;13;0.1315;0.00666;5.06;1.75;;;;;;;;;
32;29.07.2014;GAS;Ni;median;mg/kg;2240;2278;2279;2292;2313;8610;1210;1211;21.6;21.6;2.09;;21;2292;45.1;1.97;-0.61;;;;;;;;;
33;29.07.2014;GAS;P2O5;median;g/100g;0.01568;0.01292;0.01219;0.01074;0.01074;1.55E-05;2.18E-06;2.18E-06;0.00112;0.00112;2.16;;14;0.01074;0.00243;22.63;20.30;;;;;;;;;
34;29.07.2014;GAS;Pb;median;mg/kg;2.104;1.948;1.929;1.922;1.922;0.056;0.00788;0.007879;0.0894;0.0894;2.36;;8;1.922;0.211;10.98;1.35;;;;;;;;;
35;29.07.2014;GAS;Pr;median;g/100g;0.03522;0.03198;0.0327;0.03263;0.03263;6.17E-06;8.68E-07;8.68E-07;0.000736;0.000736;2.18;;13;0.03263;0.0016;4.90;-1.99;;;;;;;;;
36;29.07.2014;GAS;Rb;median;mg/kg;0.3794;0.2736;0.2555;0.2555;0.2555;0.004;0.000563;0.0005628;0.0187;0.0187;2.18;;13;0.2555;0.0408;15.97;7.08;;;;;;;;;
37;29.07.2014;GAS;Sb;median;mg/kg;11.95;11.95;12;12;12;0.991;0.139;0.1393;0.402;0.402;2.45;;7;12;0.983;8.19;-0.42;;;;;;;;;
38;29.07.2014;GAS;Sc;median;mg/kg;6.99;6.731;6.937;6.898;6.885;0.511;0.0719;0.07188;0.185;0.185;2.12;;17;6.898;0.393;5.70;-2.42;;;;;;;;;
39;29.07.2014;GAS;SiO2;median;g/100g;39.41;38.83;38.75;38.74;38.73;0.131;0.0185;0.01846;0.0825;0.0825;2.08;;22;38.74;0.172;0.44;0.23;;;;;;;;;
40;29.07.2014;GAS;Sm;median;mg/kg;0.03705;0.03705;0.03413;0.03413;0.03413;0.000127;1.79E-05;1.79E-05;0.00301;0.00301;2.13;;16;0.03413;0.00642;18.81;8.56;;;;;;;;;
41;29.07.2014;GAS;Sn;median;mg/kg;0.07359;0.07359;0.05553;0.05553;0.05553;0.00106;0.00015;0.0001495;0.0174;0.0174;3.18;;4;0.05553;0.0554;99.77;32.52;;;;;;;;;
42;29.07.2014;GAS;Sr;median;mg/kg;7.797;7.372;7.355;7.317;7.366;0.374;0.0526;0.05258;0.143;0.143;2.09;;21;7.317;0.297;4.06;0.75;;;;;;;;;
43;29.07.2014;GAS;Ta;median;mg/kg;0.01285;0.007018;0.005947;0.0051;0.0051;1.92E-05;2.70E-06;2.70E-06;0.00156;0.00156;2.31;;9;0.0051;0.0036;70.59;37.61;;;;;;;;;
44;29.07.2014;GAS;Tb;median;mg/kg;0.009056;0.008401;0.008607;0.00815;0.00815;8.04E-07;1.13E-07;1.13E-07;0.000266;0.000266;2.18;;13;0.00815;0.000579;7.10;3.08;;;;;;;;;
45;29.07.2014;GAS;Th;median;mg/kg;0.03475;0.03102;0.03137;0.03117;0.03117;2.55E-05;3.58E-06;3.58E-06;0.00156;0.00156;2.2;;12;0.03117;0.00342;10.97;-0.48;;;;;;;;;
46;29.07.2014;GAS;TiO2;median;g/100g;0.0134;0.01129;0.01133;0.0105;0.0105;8.84E-06;1.24E-06;1.24E-06;0.00077;0.00077;2.12;;17;0.0105;0.00163;15.52;7.52;;;;;;;;;
47;29.07.2014;GAS;Tl;median;mg/kg;0.003124;0.003124;0.00327;0.00327;0.00327;4.89E-08;6.88E-09;6.88E-09;0.000167;0.000167;12.71;;2;0.00327;0.00212;64.83;-4.46;;;;;;;;;
48;29.07.2014;GAS;Tm;median;mg/kg;0.007546;0.007357;0.007425;0.0074;0.0074;3.95E-07;5.55E-08;5.55E-08;0.000186;0.000186;2.18;;13;0.0074;0.000405;5.47;-0.58;;;;;;;;;
49;29.07.2014;GAS;U;median;mg/kg;0.9036;0.8304;0.8125;0.8112;0.8112;0.00222;0.000313;0.0003127;0.0126;0.0126;2.13;;16;0.8112;0.0268;3.30;2.37;;;;;;;;;
50;29.07.2014;GAS;V;median;mg/kg;32.23;32.96;32.76;32.82;32.6;8.79;1.24;1.236;0.727;0.727;2.1;;19;32.82;1.53;4.66;0.43;;;;;;;;;
51;29.07.2014;GAS;Y;median;mg/kg;0.4246;0.3766;0.3857;0.3857;0.3852;0.00359;0.000505;0.0005049;0.0155;0.0155;2.12;;17;0.3857;0.0329;8.53;-2.36;;;;;;;;;
52;29.07.2014;GAS;Yb;median;mg/kg;0.05756;0.05319;0.05278;0.05255;0.05255;4.07E-05;5.73E-06;5.73E-06;0.00165;0.00165;2.12;;17;0.05255;0.0035;6.66;1.22;;;;;;;;;
53;29.07.2014;GAS;Zn;median;mg/kg;37.16;37.16;38.5;38.5;38.84;12.7;1.79;1.789;0.794;0.794;2.07;;23;38.5;1.65;4.29;-3.48;;;;;;;;;
54;29.07.2014;GAS;Zr;median;mg/kg;2.325;0.8449;1.253;0.6151;0.6151;0.255;0.0359;0.03593;0.171;0.171;2.26;;10;0.6151;0.386;62.75;37.36;;;;;;;;;
